source,type,id,icon,label,description
oh1,binding,dsmr,false,DSMR,"The openHAB DSMR binding is targeted for Dutch users having a smart meter ('Slimme meter' in Dutch).  Data of Dutch smart meters can be obtained via the P1-port. When connecting this port from a serial port the data can be read out."
oh1,binding,ebus,true,eBUS,"The eBUS binding allows you to control your heating system. The eBUS protocol is used by heating system vendors like Wolf, Vaillant, Kromschröder etc. You can read temperatures, pump performance, gas consumption etc."
oh1,binding,ecobee,true,Ecobee,"Ecobee Inc. of Toronto, Canada, sells a range of Wi-Fi enabled thermostats, principally in the Americas.  The EMS, EMS Si, Smart, Smart Si and ecobee3 models are supported by this binding, which communicates with the [Ecobee API](https://www.ecobee.com/home/developer/api/documentation/v1/index.shtml) over a secure, RESTful API to Ecobee's servers. Monitoring ambient temperature and humidity, changing HVAC mode, changing heat or cool setpoints, changing the backlight intensity, and even sending textual messages to one or a group of thermostats, can be accomplished through this binding."
oh1,binding,ecotouch,true,EcoTouch,"The openHAB EcoTouch binding allows interaction with a heat pump."
oh1,binding,ekey,true,ekey,"[ekey](http://ekey.net/) is an Austrian company that provides biometric access-control solutions, more precisely fingerprint readers and corresponding controllers.  This binding extends the functionality of the products [ekey home](http://ekey.net/ekey-home-en) and [ekey multi](http://ekey.net/ekey-multi-en)."
oh1,binding,energenie,true,Energenie,"The openHAB Energenie binding allows you to send commands to multiple Gembird energenie PMS-LAN power extenders."
oh1,binding,enocean,true,EnOcean,"[EnOcean](https://www.enocean.com/en/) provides reliable and self-powered wireless sensor solutions for the Internet of Things.  This binding allows openHAB to monitor and control EnOcean devices through the EnOcean USB 300 gateway."
oh1,binding,enphaseenergy,true,Enphase Energy,"This binding is for people with [Enphase Energy](http://enphase.com) microinverters used in their solar installation, which means every solar panel has its own inverter and can be monitored individually."
oh1,binding,epsonprojector,true,Epson Projector,"This binding should be compatible with Epson projectors which support ESC/VP21 protocol over serial port."
oh1,binding,exec,false,Exec,"Execute commands as you would enter on the command line, returning the output (possibly transformed) as the bound item's state.  Also, execute command lines in response to commands sent to bound items."
oh1,binding,expire,false,Expire,"The Expire binding will post an update or command that you specify (the 'expire' update/command) to items it is bound to after a period of time has passed.  If you don't specify an update or command, the default is to post an Undefined (`UnDefType.UNDEF`) update to the item."
oh1,binding,fatekplc,true,Fatek PLC,"[Fatek PLC](http://fatek.com/en/prod.php?catId=1) is one kind of programmable logic controller.  This binding support native Fatek protocol to communicate with PLC.  For communication to PLC is used [JFatek library](http://www.simplify4u.org/jfatek/)."
oh1,binding,fht,false,FHT,"FHT is a range of devices produced by busware.de which allows to interact with various protocols and devices over radio frequencies. It's also possible to build one on your own."
oh1,binding,freebox,true,Freebox,"This binding is intended for users of the French DSL operator Free, using Freebox Revolution (v6)."
oh1,binding,freeswitch,true,FreeSWITCH,"The FreeSWITCH Binding connects to a FreeSWITCH instance and can report on current active calls as well as show unread voicemails and if a MWI is on."
oh1,binding,fritzaha,false,Fritz AHA,"This binding provides access to AVM Home Automation devices, such as the Fritz!DECT 200 connected to a Fritz!Box or the Fritz!Powerline 546E. It is designed to allow for multiple hosts, for instance using both a Fritz!Box and a Fritz!Powerline."
oh1,binding,fritzbox,false,Fritz!Box,"This binding can be configured in the `services/fritzbox.cfg` file."
oh1,binding,fritzboxtr064,false,Fritzbox (using TR064 protocol),"This is a binding for communication with AVM Fritz!Box using SOAP requests (TR064 protocol)."
oh1,binding,frontiersiliconradio,true,Frontier Silicon Radio,"This binding is for internet radios based on the [Frontier Silicon chipset](http://www.frontier-silicon.com/digital-radio-solutions)."
oh1,binding,fs20,false,FS20,"This binding enables support of sending and receiving FS20 messages via the CUL transport. You will need CULLite or similiar device from busware.de. This device needs to be flashed with the latest culfw firmware from culfw.de."
oh1,binding,garadget,true,Garadget,"The [Garadget](http://garadget.com) is cloud-based device that 'futurizes' your existing garage door opener, letting you open and close your garage door from anywhere, including via openHAB with this binding.  Remote access is made possible with the [particle.io](https://www.particle.io/) REST API."
oh1,binding,gc100ir,false,Global Cache IR,"This page describes the Global Cache IR binding (1.x), which allows openHAB items to send commands to the corresponding IR devices from one or more instances of Global Cache."
oh1,binding,gpio,false,GPIO,"This binding is for the local GPIO subsystem. It is currently only exposed to user space by [Linux GPIO framework](https://www.kernel.org/doc/Documentation/gpio/sysfs.txt). Being based on a kernel implementation, it's hardware agnostic and works on different boards without modification (this is on theory only, not all existing boards can be tested)."
oh1,binding,harmonyhub,false,Harmony Hub,"The Harmony Hub binding is used to enable communication between openHAB and one or more Logitech Harmony Hub devices. The API exposed by the Harmony Hub is relatively limited, but it does allow for reading the current activity as well as setting the activity and sending device commands."
oh1,binding,hdanywhere,false,HDanywhere,"[HDanywhere](http://www.hdanywhere.co.uk) is a manufacturer of multiroom/distributed audio/video equipment. This binding supports their V3 of the Multiroom+ HDMI matrix running firmware V1.2(20131222). These matrices support the highest HD resolutions, including 1080p 3D & 4K, use a single Cat5e/6/7 wiring structure with reliable performance up to 100m, have IR passback to allow you to select and control what you watch from every room and are fully compatible with universal remote controls."
oh1,binding,heatmiser,true,Heatmiser,"The Heatmiser binding allows you to control Heatmiser RS-422 network thermostats (also sold under other names). The binding communicates via TCP/IP to an RS-422 adaptor that links to the thermostats."
oh1,binding,hms,false,HMS,"This binding enables support of receiving HMS messages via the CUL transport."
oh1,binding,homematic,true,Homematic,"This is the binding for the [eQ-3 Homematic Solution](http://www.eq-3.de/)."
oh1,binding,horizon,false,Horizon mediabox,"This binding supports the horizon mediabox used by cable companies in the Netherlands and some other countries. The box is manufactured by Samsung and known as SMT-G7400 and SMT-G7401. This binding is tested with the SMT-G7401 but should also work with the SMT-G7400. The binding only works when your box is connected to your home network. When you are able to use the HorizonGo remote control app, you should also be able to use this binding."
oh1,binding,http,true,HTTP,"If you want to have openHAB request a URL when commands are sent to items, or have it poll a given URL frequently and update items' states, install and configure this binding."
oh1,binding,hue,true,Hue,"This binding connects openHAB to your Philips Hue lighting system."
oh1,binding,iec6205621meter,false,IEC 62056-21 Meter,"This binding is used to communicate to metering devices supporting serial communication according IEC 62056-21 mode C master. It can be used to read metering data from slaves such as gas, water, heat, or electricity meters."
oh1,binding,ihc,false,IHC / ELKO,"This binding is for the 'Intelligent Home Control' building automation system originally made by LK, but now owned by Schneider Electric and sold as 'IHC Intelligent Home Control'. It is based on a star-configured topology with wires to each device. The system is made up of a central controller and up to 8 input modules and 16 output modules. Each input module can have 16 digital inputs and each output module 8 digital outputs, resulting in a total of 128 input and 128 outputs per controller."
oh1,binding,insteonhub,false,Insteon Hub,"DO NOT USE THIS BINDING. The InsteonHub binding is outdated and no longer supported. Use the InsteonPLM binding instead."
oh1,binding,insteonplm,true,Insteon PLM,"Insteon is a home area networking technology developed primarily for connecting light switches and loads. Insteon devices send messages either via the power line, or by means of radio frequency (RF) waves, or both (dual-band). A considerable number of Insteon compatible devices such as switchable relays, thermostats, sensors etc are available. More about Insteon can be found on [Wikipedia](http://en.wikipedia.org/wiki/Insteon)."
oh1,binding,intertechno,false,Intertechno,"You can send intertechno in every mode. I.e., if you are using the CUL in slow RF mode or BidCos mode you can still send intetechno commands. The firmware will take care of switching to intertechno mode, sending the command and switching back."
oh1,binding,ipx800,false,IPX800,"IPX800 is a 8 relay webserver from gce-electronics with a lot of possibilities:"
oh1,binding,irtrans,false,IRTrans,"This binding communicates with the [IRTrans](http://www.irtrans.de) infrared emitter/transceiver."
oh1,binding,jointspace,false,jointSPACE,"The jointSPACE binding lets you control your Philips TV that is compatible with the [jointSPACE JSON API](http://jointspace.sourceforge.net/projectdata/documentation/jasonApi/index.html) over Ethernet."
oh1,binding,k8055,false,Velleman k8055 USB IO Board,"This binding allows you to integrate a [Velleman k8055 USB IO Board](http://www.vellemanusa.com/products/view/?country=us&lang=enu&id=500349) with openHAB."
oh1,binding,km200,false,KM200,"The KM200 Binding is communicating with a [Buderus Logamatic web KM200 / KM100 / KM50](https://www.buderus.de/de/produkte/catalogue/alle-produkte/7719_gateway-logamatic-web-km200-km100-km50).  It is possible to receive and send parameters like string or float values."
oh1,binding,knx,true,KNX,"The openHAB KNX binding allows one to connect to [KNX Home Automation](http://www.knx.org/) installations. Switching lights on and off, activating your roller shutters or changing room temperatures are only some examples."
oh1,binding,koubachi,false,Koubachi,"The [Koubachi](http://www.koubachi.com) Services help everybody without a green thumb to be a perfect gardener. All plants can be registered on their really nice website (or through iPhone/iPad App) to tell you when and how to care for your plants. Furthermore they offer a dedicated hardware, the WIFI Plant Sensor. This wireless device measures vital parameters and determines the vitality of your plants."
oh1,binding,lcn,true,LCN,"This binding connects to one or more LCN-PCHK instances via TCP/IP. **This means 1 unused LCN-PCHK license is required!**"
oh1,binding,lgtv,true,LG TV,"This binding supports LG TV models with Netcast 3.0 and Netcast 4.0 (Model years 2012 & 2013), and with LG TVs which support the UDAP 2.0 protocol over Ethernet.  See ['UDAP Specifications (For Second Screen TV and Companion Apps)'](http://developer.lgappstv.com/TV_HELP/topic/lge.tvsdk.references.book/html/UDAP/UDAP/UDAP%20Specifications%20For%20Second%20Screen%20TV%20and%20Companion%20Apps.htm)."
oh1,binding,lightwaverf,false,LightwaveRF,"This binding supports the LightwaveRF products using the LightwaveRF Wifi Link that is available as part of that range."
oh1,binding,mailcontrol,false,MailControl,"This binding provides possibility to receive commands sent via email in JSON format."
oh1,binding,maxcube,false,MAX!Cube,"The MAX!Cube binding allows openHAB to connect to [(ELV) MAX!Cube Lan Gateway](http://www.elv.de/max-cube-lan-gateway.html) installations. The binding allows openHAB to communicate with the MAX! devices through the MAX!Cube Lan Gateway."
oh1,binding,maxcul,false,MAX!CUL,"The aim of this binding is to allow the connection from openHAB to MAX! devices (wall thermostat/radiator valves) using the [CUL USB dongle](http://busware.de/tiki-index.php?page=CUL) rather than the MAX!Cube. This should allow greater control over the devices than the cube offers as all interaction is handled manually."
oh1,binding,mcp23017,false,MCP23017,"This binding provides native access for MCP23017 16 bit bidirectional I/O expander on I2C bus. Please consider datasheet for IC for future information."
oh1,binding,mcp3424,false,MCP3424,"This binding provides native access for MCP3424 18-bit delta sigma ADC on I2C bus. Please consider datasheet for IC for future information. The binding should work with MCP3422 and MCP3423 also, but was not tested due to lack of hardware."
oh1,binding,milight,false,Milight,"The Milight binding allows openHAB to send commands to multiple Milight bridges."
oh1,binding,mios,false,MiOS Bridge,"This binding exposes read, and read-command, access to Devices controlled by a MiOS Home Automation controller, such as those seen at http://getvera.com."
oh1,binding,mochadx10,false,Mochad X10,"This binding makes it possible to control X10 devices via a server running the [Mochad X10 daemon by mmauka](http://sourceforge.net/projects/mochad/). Mochad is a Linux TCP gateway daemon for the X10 CM15A RF (radio frequency) and PL (power line) controller and the CM19A RF controller."
oh1,binding,modbus,true,Modbus,"The binding supports both TCP and Serial slaves. RTU, ASCII and BIN variants of Serial Modbus are supported."
oh1,binding,mpd,false,MPD,"[Music Player Daemon (MPD)](http://www.musicpd.org/) is a flexible, powerful, server-side application for playing music. Through plugins and libraries it can play a variety of sound files while being controlled by its network protocol."
oh1,binding,mqtt,true,MQTT,"This binding allows openHAB to act as an MQTT client, so that openHAB items can send and receive [MQTT](http://mqtt.org/) messages to/from an MQTT broker. It does not provide MQTT broker functionality, for this you may want to have a look at [Mosquitto](http://mosquitto.org/) or others. There are test servers available at m2m.eclipse.org and test.mosquitto.org."
oh1,binding,mqttitude,false,OwnTracks (formerly MQTTitude),"[OwnTracks](http://owntracks.org), formerly known as _MQTTitude_, was developed as a replacement for the old Google Latitude service. However it is slightly different (better) in that all your location data is private - i.e. there is no 3rd party server somewhere collecting and storing your data. Instead each time your device publishes its location, it is sent to an [MQTT](http://mqtt.org/) broker of your choice."
oh1,binding,myq,false,Chamberlain MyQ,"[Chamberlain MyQ](http://www.chamberlain.com/smartphone-control-products/myq-smartphone-control) system allows you to connect your garage door to the internet to be controlled from anywhere using your smartphone. Using this API, The Chamberlain MyQ Binding can get the status of your garage door opener and send commands to open or close it."
oh1,binding,mystromecopower,false,Mystrom Eco Power,"The openHAB Mystrom binding allows you to send commands to Mystrom Eco Power Switches, receive consumption numbers and states of devices."
oh1,binding,neohub,false,NeoHub,"The NeoHub binding allows you to connect openhab via TCP/IP to Heatmiser's NeoHub and integrate your NeoStat thermostats onto the bus."
oh1,binding,nest,true,Nest,"[Nest Labs](https://nest.com/) developed/acquired the Wi-Fi enabled Nest Learning Thermostat, the Nest Protect Smoke+CO detector, and the Nest Cam.  These devices are supported by this binding, which communicates with the Nest API over a secure, RESTful API to Nest's servers. Monitoring ambient temperature and humidity, changing HVAC mode, changing heat or cool setpoints, monitoring and changing your 'home/away' status, and monitoring your Nest Protects and Nest Cams can be accomplished through this binding."
oh1,binding,netatmo,true,Netatmo,"The Netatmo binding integrates the Netatmo Personal Weather Station into openHAB. Its different modules allow you to measure temperature, humidity, air pressure, carbon dioxide concentration in the air, as well as the ambient noise level."
oh1,binding,networkhealth,false,Network Health,"This binding allows openHAB to check whether a device is currently available on the network."
oh1,binding,networkupstools,false,Network UPS Tools,"The primary goal of the [Network UPS Tools](http://www.networkupstools.org/) (NUT) project is to provide support for power devices, such as uninterruptible power supplies (UPS), Power Distribution Units and Solar Controllers."
oh1,binding,nibeheatpump,false,Nibe Heatpump,"The Nibe heat pump binding is used to get live data from from Nibe heat pumps without using a Modbus adapter (but instead using an Arduino UNO and RS485 and Ethernet shields). This binding should be compatible with at least the F1145 and F1245 heat pump models."
oh1,binding,nikobus,false,Nikobus,"This binding allows openHAB to interact with the [Nikobus](http://www.niko.eu/enus/niko/products/home-automation-with-nikobus/) home automation system."
oh1,binding,novelanheatpump,false,Novelan/Luxtronic Heat Pump,"This binding was originally created for the Novelan heat pump. Since the Novelan control unit is based on the Luxtronic 2 contol unit of Alpha Innotec, this binding should work with all heat pumps that use this type of controller."
oh1,binding,ntp,false,Network Time Protocol (NTP),"The [Network Time Protocol](https://en.wikipedia.org/wiki/Network_Time_Protocol) (NTP) Binding is used to query an NTP server you configure for the current time, within tens of milliseconds of accurary.  Items in openHAB will receive these updates."
oh1,binding,omnilink,false,HAI/Leviton Omni and Lumina,"The HAI/Leviton Omni is a popular home automation system in the US.  At its core, the Omni is a hardware board that provides security and access features.  It connects to many other devices through serial ports or relays and exposes them through a single TCP based API."
oh1,binding,onewire,false,OneWire,"The OneWire bus system is a lightweight and inexpensive bus system mostly used for sensors (eg. temperature, humidity, counters and presence). There are also switches available. The binding is designed to work as a client of the [ow-server](http://owfs.org/index.php?page=owserver_protocol) which implements the [owserver-protocol](http://owfs.org/index.php?page=owserver-protocol). The OneWire devices could be connected to the machine running ow-server by a USB adapter such as ds9490r or a serial adapter. For detailed information on OneWire please refer to http://en.wikipedia.org/wiki/One_wire or http://owfs.org."
oh1,binding,onkyo,true,Onkyo AV Receiver,"This binding is compatible with Onkyo AV receivers which support ISCP (Integra Serial Control Protocol) over Ethernet (eISCP) and serial ports."
oh1,binding,openenergymonitor,false,Open Energy Monitor,"The [Open Energy Monitor](http://openenergymonitor.org) binding is used to get live data from open energy monitor devices."
oh1,binding,openpaths,false,OpenPaths,"[OpenPaths](https://openpaths.cc/%E2%80%8E) is an app you can install on your Android or iOS device which will periodically upload your location to the OpenPaths servers. Using the OpenPaths binding, openHAB will periodically request your latest location data from the OpenPaths servers and calculate your presence relative to a specified location (usually your home)."
oh1,binding,opensprinkler,true,OpenSprinkler,"This binding is compatible with with both the [OpenSprinkler](http://opensprinkler.com) and [OpenSprinkler Pi](http://pi.opensprinkler.com) hardware. In other words, this binding supports communicating to the OpenSprinkler and OpenSprinkler Pi using HTTP (as long as you have the interval program installed), or directly via GPIO when using the OpenSprinkler Pi."
oh1,binding,owserver,false,OWServer,"This binding reads values from 1-wire devices connected to an [OW-SERVER](http://www.embeddeddatasystems.com/OW-SERVER-1-Wire-to-Ethernet-Server-Revision-2_p_152.html) (both Rev. 1 and 2)."
oh1,binding,panasonictv,false,Panasonic TV,"This binding supports Panasonic TVs. It should be compatible with most up-to-date Panasonic Smart-TVs."
oh1,binding,panstamp,false,panStamp,"panStamp are low-power wireless modules programmable from Arduino.  The panStamp binding enables openHAB to connect to a network of panStamp devices."
oh1,binding,piface,false,Piface,"A Piface extension board is attached to a Raspberry Pi via the GPIO connector. It has 8 digital input and 8 digital output pins. It is not possible to set the value of input pins, or read the value of output pins. There is plenty of documentation on the web about the Piface board and how it can be used."
oh1,binding,pilight,false,pilight,"The pilight binding allows openHAB to communicate with a [pilight](http://www.pilight.org/) instance running pilight version 6.0 or greater."
oh1,binding,pioneeravr,true,Pioneer AV Receiver (1.x),"This binding allows openHAB to remotely control a Pioneer AV receiver equipped with an Ethernet interface. It enables openHAB to switch ON/OFF the receiver, adjust the volume, set the input source and configure most other parameters."
oh1,binding,plcbus,false,PLCBus,"Currently only 'One phase mode' of the PLCBus protocol is supported."
oh1,binding,plclogo,false,PLCLogo,"This binding provides native support of Siemens Logo! PLC devices. Communication with Logo is done via Moka7 library. Currently only two devices are supported: 0BA7 (Logo! 7) and 0BA8 (Logo! 8). Additionally multiple devices are supported. Different families of Logo! devices should work also, but was not tested now due to lack of hardware."
oh1,binding,plex,true,Plex,"This binding supports multiple clients connected to a [Plex Media Server](http://plex.tv). With this binding, it's possible to dim your lights when a video starts playing, for example. Here's a [short demo video](https://www.youtube.com/watch?v=igAUFCZ-zXc)."
oh1,binding,plugwise,false,Plugwise,"The Plugwise binding adds support to openHAB for [Plugwise](https://www.plugwise.com) ZigBee devices using the Stick."
oh1,binding,powerdoglocalapi,false,PowerDog Local API,"This is an openHAB binding for an [eco-data PowerDog](http://www.eco-data.de/produkte.html). It supports the [PowerAPI Local Device API](http://api.power-dog.eu/documentation/) in the only available revision [v0.b](http://api.power-dog.eu/documentation/DOCUMENATION/PowerAPI%20Local%20Device%20API%20Description_v0.b.pdf)."
oh1,binding,powermax,false,Visonic Powermax,"Visonic produces the Powermax alarm panel series (PowerMax, PowerMax+, PowerMaxExpress, PowerMaxPro and PowerMaxComplete) and the Powermaster alarm series (PowerMaster 10 and PowerMaster 30). This binding allows you to control the alarm panel (arm/disarm) and allows you to use the Visonic sensors (movement, door contact, ...) within openHAB."
oh1,binding,primare,false,Primare,"[Primare AB](http://www.primare.se) is a Swedish manufacturer of hi-fi and audio and video products such as amplifiers, disc players and tuners. Older Primare devices are equipped with a RS-232 serial control interface. Communication is asynchronous, an external control device connected to the serial interface has no way of differentiating between status messages triggered by external RS-232 commands or, say, manual operation using the front panel controls."
oh1,binding,pulseaudio,true,Pulseaudio,"This binding allows openHAB to monitor and control pulseaudio servers."
oh1,binding,rfxcom,true,RFXCOM,"The binding should be compatible at least with RFXtrx433 USB 433.92MHz transceiver, which contains both receiver and transmitter functions. The RFXtrx433E is fully compatible with the RFXtrx433, and has in addition the possibility to transmit RFY (Somfy RTS) RF command at the frequency used by Somfy."
oh1,binding,rpircswitch,false,Raspberry Pi RC Switch,"This binding enables the management of remote controlled (RC) switches via a 433-MHz transmitter connected to a Raspberry Pi.  It can be used with a 433-MHz transmitter connected to a Raspberry Pi as described in [this assembly instruction](https://www.raspberrypi.org/forums/viewtopic.php?f=37&t=66946)."
oh1,binding,rwesmarthome,false,RWE SmartHome,"This binding allows openHAB to be integrated [RWE SmartHome](https://www.rwe-smarthome.de/) software previous to version 2.0. It uses an unofficial interface, which is limited in some cases, as explained below. As the interface has some delay and polling is needed to receive all changes from the RWE SmartHome Central (SHC), it may take one or two seconds until a device finally responds. However, this is tolerable in most cases as time critical rules can be done in the RWE Smarthome Central itself."
oh1,binding,sagercaster,false,Sager Weathercaster,"The Sager Weathercaster is a scientific instrument for accurate prediction of the weather.  **This binding is currently incompatible with openHAB 2.**"
oh1,binding,sallegra,false,Sallegra,"The Sallegra binding supports the Sallegra Dimmer DA-ET-4, Sallegra Relay R-ET-4 and Sallegra Input ADI-ET-8/8."
oh1,binding,samsungac,false,Samsung Air Conditioner,"This binding should be compatible with Samsung Smart Air Conditioner models."
oh1,binding,samsungtv,true,Samsung TV,"This binding should be compatible with Samsung TV models which support Apple and Android remote applications."
oh1,binding,sapp,false,Picnet Sapp,"The openHAB Sapp binding connects to [Picnet](http://www.sinthesi.com) Home Automation installations. The binding supports multi master configuration as well."
oh1,binding,satel,false,Satel Integra Alarm System,"The Satel Integra Alarm System allows openHAB to connect to your alarm system via TCP/IP network with ETHM-1 module installed, or via RS-232 serial port with INT-RS module installed."
oh1,binding,serial,false,Serial,"The Serial binding allows openHAB to communicate in ASCII over serial ports attached to the openHAB server."
oh1,binding,smarthomatic,false,Smarthomatic,"The [Smarthomatic](https://www.smarthomatic.org) binding will connect a network of Smarthomatic devices to your openHAB server."
oh1,binding,snmp,false,SNMP,"The SNMP binding allows SNMP GET (polling) and SNMP SET (commanding), and the reception of SNMP TRAPs (asynchronous events). SNMP is often found in network equipment, and the binding can be used to ensure your network is operating correctly. The out binding can be used to configure network settings."
oh1,binding,sonance,false,Sonance,"This binding integrates with [Sonance DSP Amplifiers](http://www.sonance.com/electronics/amplifiers/dsp). It supports all three models (DSP 2-150, DSP 8-130 and DSP 2-750) but for now it's only tested with the DSP 8-130.  For each group you can enable or disable sound (toggle mute) or set the volume."
oh1,binding,sonos,true,Sonos,"**Note:** The Sonos binding communicates with the Sonos devices through the UPnP (Universal Plug And Play) protocol. Users of this binding might wish to familiarise them with the protocol and slang. UPnP defines a subscription model whereby a UPnP client can subscribe to UPnP Events that are transmitted by a UPnP device. Sonos Players do emit quite a bit of Events and some are used to capture status variables (see below)."
oh1,binding,souliss,false,Souliss,"[Souliss](http://www.souliss.net/) is a networking framework for Arduino and compatibles boards, and is designed to let you easily build a smart home that is distributed over multiple boards via Ethernet, wireless point-to-point and RS485 bus."
oh1,binding,squeezebox,true,Squeezebox,"This binding integrates the [Logitech Media Server](http://www.mysqueezebox.com) and compatible Squeeze players."
oh1,binding,stiebelheatpump,false,Stiebel Eltron LWZ,"This binding is used to communicate Stiebel Eltron LWZ heat pumps via a serial interface.  The binding is inspired by the work of [Monitoring a Stiebel Eltron LWZ](http://robert.penz.name/heat-pump-lwz) which is hosted at [Heatpumpmonitor](https://launchpad.net/heatpumpmonitor) and is written in Python."
oh1,binding,swegonventilation,false,Swegon Ventilation,"This binding is used to get live data from Swegon ventilation systems into items in openHAB. It should be compatible with at least Swegon CASA models."
oh1,binding,systeminfo,false,System Information,"The System Information binding provides operating system monitoring data, including system memory, swap, CPU, load average, uptime, per-process memory, per-process CPU, file system metrics and network interface metrics."
oh1,binding,tacmi,false,TACmi,"This binding makes use of the CAN over Ethernet feature of the CMI from Technische Alternative. Since I only have the new UVR16x2, it has only been tested with this controller."
oh1,binding,tcp,false,TCP & UDP,"The TCP and UDP bindings provide basic support for simple ASCII-based protocols. They send and receive data as ASCII strings. Data sent out is by default padded with a CR/LF. This should be sufficient for many home automation devices that take simple ASCII-based control commands, or that send back text-based status messages."
oh1,binding,tellstick,true,Tellstick,"This binding is tested against Tellstick DUO, it should also work with a basic Tellstick.  It supports RF 433 Mhz protocols like: Nexa, HomeEasy, X10, CoCo (KlikAanKlikUit), Oregon e.o."
oh1,binding,tinkerforge,false,TinkerForge,"[TinkerForge](http://www.tinkerforge.com) is a system of open source hardware building blocks that allows you to combine sensor and actuator blocks by plug and play. You can create your individual hardware system by choosing the necessary building blocks for your project and combine it with other home automation products."
oh1,binding,tivo,false,TiVo,"This binding works with older TiVo units which support the v1.0 protocol.  TiVo units that implement the [newer v1.1 API](http://www.tivo.com/assets/images/abouttivo/resources/downloads/brochures/TiVo_TCP_Network_Remote_Control_Protocol.pdf) will encounter some incompatibility.  If you find that button commands (`pause, play, record`) work, but `nowshowing` does not work, you likely have a Tivo that implements the v1.1 protocol."
oh1,binding,ucprelayboard,false,UCProjects.eu Relay Board,"This binding provides support for relay board available from [ucprojects.eu](http://ucprojects.eu) (site in Polish)"
oh1,binding,upb,false,UPB,"The UPB binding is used to enable communication between openHAB and UPB devices. This binding requires the use of a UPB PIM or power-line modem. This binding has only been tested against simple automated devices."
oh1,binding,urtsi,true,Somfy URTSI II,"This binding communicates with Somfy URTSI II devices over a serial connection."
